field_id,common_name,species_name,family,order,common_group,sp_code,,master_trawl,notes,Common group sorting order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gulf menhaden,"menhaden, gulf",Brevoortia patronus,Clupeidae,Clupeiformes,Pisces,Bre pat,,X,added to trawl datasheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellowfin menhaden,"menhaden, yellowfin",Brevoortia smithi,Clupeidae,Clupeiformes,Pisces,Bre smi,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
menhaden,menhaden spp.,Brevoortia spp.,Clupeidae,Clupeiformes,Pisces,Bre spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantic menhaden,"menhaden, atlantic ",Brevoortia tyrannus,Clupeidae,Clupeiformes,Pisces,Bre tyr,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clupeid,unid clupeid/herring,,Clupeidae,Clupeiformes,Pisces,Clupeidae,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sardine,"sardine, scaled ",Harengula jaguana,Clupeidae,Clupeiformes,Pisces,Har jag,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threadherring,"herring, thread-",Opisthonema oglinum,Clupeidae,Clupeiformes,Pisces,Opi ogl,,X,aka: atlantic thread hearing,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conger eel,"eel, american conger ",Conger oceanicus,Congridae,Anguilliformes,Pisces,Con oce,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackcheek tongfish,"tonguefish, blackcheek ",Symphurus plagiusa,Cynoglossidae,Pleuronectiformes,Pisces,Sym pla,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tonguefish,tonguefish spp.,Symphurus spp.,Cynoglossidae,Pleuronectiformes,Pisces,Sym spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
